iter	Logloss
0	0.6752194185
1	0.6586574106
2	0.6422921734
3	0.6278857566
4	0.6137052842
5	0.6002679599
6	0.5877058627
7	0.5752776374
8	0.5645598354
9	0.5550803885
10	0.5471487476
11	0.5384279509
12	0.5318389402
13	0.5241691627
14	0.5174152042
15	0.5106873978
16	0.504103511
17	0.4981193191
18	0.4926265467
19	0.4872977332
20	0.4824225469
21	0.4780696333
22	0.4736217591
23	0.4706812865
24	0.4671542102
25	0.46414741
26	0.4605371535
27	0.4578067686
28	0.4550562353
29	0.4520490404
30	0.4496866064
31	0.4472963168
32	0.4453015608
33	0.443337165
34	0.4410948387
35	0.4391719607
36	0.4368209944
37	0.4348737943
38	0.4332516246
39	0.4318470504
40	0.4299931661
41	0.4283221755
42	0.4269573032
43	0.4255863415
44	0.4239444918
45	0.4228260975
46	0.4217446772
47	0.4208116741
48	0.4198465191
49	0.4188853203
50	0.4178280842
51	0.4167894505
52	0.4159346933
53	0.4148303927
54	0.4138722388
55	0.4131743302
56	0.412424465
57	0.4116573107
58	0.4110004425
59	0.4099890713
60	0.40937028
61	0.4087413914
62	0.4080348515
63	0.4072741782
64	0.406836783
65	0.4063246913
66	0.4058306535
67	0.4052293449
68	0.4047675998
69	0.4041421669
70	0.4033696066
71	0.4030295631
72	0.4026046845
73	0.4022051724
74	0.4016500299
75	0.4011190024
76	0.4007205329
77	0.4001749455
78	0.3998192856
79	0.3994796717
80	0.3988342509
81	0.3984276415
82	0.398006576
83	0.3976646711
84	0.397042268
85	0.3966866984
86	0.396215388
87	0.3957815513
88	0.395240855
89	0.3948220449
90	0.3944110435
91	0.3940850972
92	0.3937288926
93	0.3933587492
94	0.3930603773
95	0.3927005944
96	0.3921387564
97	0.3915429817
98	0.3911106521
99	0.3907858362
100	0.390515895
101	0.3903034182
102	0.3899138844
103	0.3895593169
104	0.3893028724
105	0.3889418385
106	0.3887407369
107	0.3884750938
108	0.3881751274
109	0.3877696747
110	0.3874025275
111	0.3871155165
112	0.3868312415
113	0.3865406994
114	0.3863848979
115	0.3859666149
116	0.3857358277
117	0.3855498653
118	0.3851851969
119	0.38497668
120	0.3847267365
121	0.3845404996
122	0.3841938293
123	0.384028926
124	0.3837743351
125	0.383590011
126	0.3832560631
127	0.3830169063
128	0.3827874132
129	0.3824166191
130	0.382242512
131	0.3819700565
132	0.3816719577
133	0.381453478
134	0.3811348883
135	0.3808196572
136	0.3806195345
137	0.3803236619
138	0.3799253852
139	0.3796452657
140	0.3794487611
141	0.379239247
142	0.3789414916
143	0.3787397519
144	0.3784413949
145	0.3781167719
146	0.3779995079
147	0.3777845287
148	0.3775387949
149	0.3772336461
150	0.3769888737
151	0.3766648332
152	0.3764478825
153	0.3761872964
154	0.3759208005
155	0.3756520992
156	0.375495384
157	0.375258905
158	0.3750383892
159	0.3747722409
160	0.3745375408
161	0.374158649
162	0.3739133146
163	0.3736784871
164	0.3733848734
165	0.3732126325
166	0.3729729455
167	0.3728385664
168	0.372601284
169	0.372469532
170	0.3721827933
171	0.3720140212
172	0.3718620654
173	0.3716659397
174	0.3712856435
175	0.3709282377
176	0.3706780784
177	0.3704319566
178	0.3703192797
179	0.3701631032
180	0.3698942253
181	0.3697201085
182	0.3695116218
183	0.3693071602
184	0.3691115426
185	0.3688897582
186	0.3686351948
187	0.3684367832
188	0.3682771454
189	0.368070219
190	0.3679096469
191	0.3676157489
192	0.3673133291
193	0.3671189293
194	0.3670071429
195	0.3667735359
196	0.3666434809
197	0.3664041761
198	0.3661501973
199	0.3659508817
200	0.3656286225
201	0.3654374706
202	0.3653535305
203	0.3650168065
204	0.3647299217
205	0.3645053384
206	0.3642479056
207	0.3640331325
208	0.3638174394
209	0.3636416595
210	0.3634599782
211	0.3632754627
212	0.3630460127
213	0.3627827211
214	0.3625396154
215	0.3622735756
216	0.3619903445
217	0.3617742197
218	0.3614222252
219	0.3611852125
220	0.3610738097
221	0.3607837267
222	0.3606019959
223	0.3604356363
224	0.3603087221
225	0.3601884117
226	0.3599496236
227	0.3597311344
228	0.3595341705
229	0.3593534975
230	0.3591189448
231	0.3589182274
232	0.3587168886
233	0.3586167829
234	0.3584433145
235	0.3582126916
236	0.3579732283
237	0.3577263154
238	0.3575093394
239	0.3573239328
240	0.357034128
241	0.3568803357
242	0.3567256739
243	0.3565713654
244	0.3564914888
245	0.356275603
246	0.3560307319
247	0.3558605283
248	0.3556065868
249	0.3554251774
250	0.3551812701
251	0.3549700403
252	0.3547397321
253	0.3545173028
254	0.3542320515
255	0.3540744323
256	0.353912024
257	0.3538074262
258	0.3535432085
259	0.3533148976
260	0.3530869808
261	0.3528843255
262	0.3526833356
263	0.3524131648
264	0.3522073584
265	0.3518673481
266	0.3516524904
267	0.3514650694
268	0.3512501449
269	0.350926542
270	0.3506549842
271	0.3504335813
272	0.3500911866
273	0.3500266402
274	0.349760065
275	0.3493904518
276	0.3490751817
277	0.3488261689
278	0.3486134537
279	0.3483187424
280	0.3480112633
281	0.3477691584
282	0.3474992952
283	0.347256829
284	0.3470591291
285	0.3468651236
286	0.3467172208
287	0.3465938641
